Predicted    0    1    2  3  4    5   6    7    8
Actual                                           
0          369    3    0  0  0    2   1    8    3
1            7  596    0  0  0    0   3    5    9
2            0    0  628  0  0  108   0    0    0
3            0    1   82  0  1   25   0    1    9
4            0    0    0  0  3    6   0    0    2
5            1    1    4  0  0  167   8    4    3
6            0    1    0  0  0    3  93    2    1
7            7    6    1  0  0   12   0  279    2
8            2    6    1  0  0   14   1    3  227
