Predicted    0    1    2  3  4   5   6    7   8
Actual                                         
0          136    4    1  0  0   0   1   11   0
1            8  230    1  0  0   0   2    3   3
2            0    0  293  0  0   0   0    0   0
3            0    1   43  0  0   0   0    1   1
4            0    0    2  0  0   0   0    1   0
5            6    1   27  0  0  38   0    1   1
6            0    1    0  0  0   0  34    1   3
7            8    3    3  0  0   3   1  101   2
8            2    2    7  0  0  23   2    2  62
