Predicted    0    1    2  3  4  5   6    7    8
Actual                                         
0          365    4    0  0  0  1   5    9    2
1           13  590    0  0  0  0   4    3   10
2            0    0  626  0  0  0   0    0  110
3            0    1   53  0  0  0   0    1   64
4            0    0    0  0  2  0   0    0    9
5            4    1    4  0  0  9   0    1  169
6            0    1    0  0  0  0  94    1    4
7           11    3    0  0  0  0   3  278   12
8            1    7    2  0  0  0   2    2  240
