Predicted    0    1    2  3  4  5   6    7   8
Actual                                        
0          148    0    0  0  0  0   0    3   2
1           14  227    0  0  0  0   1    1   4
2            0    0  250  0  0  0   0    0  43
3            1    0    0  0  0  0   1    1  43
4            0    0    0  0  0  0   0    0   3
5            6    2    0  0  0  0   0    1  65
6            1    1    0  0  0  0  34    1   2
7           11    2    0  0  0  0   0  100   8
8            3    4    0  0  0  0   2    5  86
