Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          145    0    1   0  0   0   4   2   1
1            9  224    0   0  0   1   1   8   4
2            0    0  293   0  0   0   0   0   0
3            0    0   16  27  0   0   0   2   1
4            0    0    2   0  0   0   0   0   1
5            6    1   33   0  0  32   0   0   2
6            0    0    0   0  0   0  36   1   2
7            6    4    2   2  0   2   0  94  11
8            1    4   11   5  0  19   1   6  53
