Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          367    7    0    0  0    2   1    9    0
1            4  600    0    0  0    0   4    2   10
2            0    0  682    0  0   54   0    0    0
3            1    1    1  102  0   12   0    2    0
4            0    0    0    0  4    6   0    0    1
5            1    1    4    3  0  175   0    2    2
6            0    0    0    1  0    0  96    1    2
7           12    3    2    0  0    4   0  286    0
8            2    8    0    1  0    9   2    1  231
