Predicted    0    1    2  3  4  5  6    7    8
Actual                                        
0          352    2    1  0  0  1  0   24    6
1           19  578    0  0  0  0  0   15    8
2            0    0  625  0  0  0  0    0  111
3            0    1    0  0  0  0  0    1  117
4            0    0    0  0  0  0  0    0   11
5           11    3    0  0  0  0  0    3  171
6            1    0    0  0  0  0  5    4   90
7           12    8    0  0  0  0  0  263   24
8            3    7    1  0  0  0  0   14  229
