Predicted    0    1    2  3  4  5  6    7    8
Actual                                        
0          313   22    2  0  0  0  0   45    4
1           35  576    1  0  0  0  0    4    4
2            0    0  625  0  0  0  0    0  111
3            1    0    0  0  0  0  0    3  115
4            0    0    0  0  0  0  0    0   11
5            3    5    0  0  0  0  0   59  121
6            5    1    0  0  0  0  0   12   82
7           27    5    0  0  0  0  0  243   32
8           13    8    1  0  0  0  0   16  216
