Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          375    5    0   0  0    2   0    4    0
1           13  598    0   0  0    1   1    3    4
2            0    0  734   0  0    2   0    0    0
3            0    3    1  98  0   16   0    1    0
4            0    0    2   0  0    6   0    0    3
5           13    1    3   1  0  170   0    0    0
6            0    1    0   0  0    2  91    3    3
7           11    9    3   0  0    8   0  272    4
8            1   12    0   0  0   11   0    0  230
