Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          375    3    0    0  0    3   0    5    0
1            8  601    0    0  0    3   1    3    4
2            0    0  731    0  0    5   0    0    0
3            0    3    0  102  0   13   0    1    0
4            0    0    4    0  0    4   0    0    3
5            5    1    2    1  0  179   0    0    0
6            1    1    0    0  0    1  92    2    3
7            9    7    3    0  0    4   0  282    2
8            1    9    0    0  0   10   0    0  234
