Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    3    0   1  0    4   0    5    6
1           13  595    0   0  0    3   2    0    7
2            0    0  713   0  0   23   0    0    0
3            0    1   25  73  0   17   0    0    3
4            0    0    0   0  0    8   0    0    3
5           11    3   13   0  0  151   0    3    7
6            0    2    0   0  0    2  93    0    3
7           19    9    2   5  0   10   0  257    5
8            1    8    2   0  0   54   1    2  186
