Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          368    5    1   1  0    3   0    4    4
1           15  592    0   0  0    3   2    0    8
2            0    0  734   0  0    2   0    0    0
3            0    1   33  71  0   10   1    0    3
4            0    0    0   0  0    8   0    0    3
5           11    3   44   1  0  120   0    1    8
6            0    2    0   0  0    2  93    0    3
7           21    9    2   6  0   10   0  254    5
8            1    7    2   0  0   51   1    1  191
