Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          379    2    0    0  0    1   0    4    0
1            5  605    0    0  1    0   0    3    6
2            0    0  733    0  0    3   0    0    0
3            1    3    0  108  0    7   0    0    0
4            0    0    2    0  6    2   0    0    1
5            4    1    0    1  0  182   0    0    0
6            1    0    0    0  0    0  94    1    4
7            8    3    1    0  0    4   0  289    2
8            1    4    0    0  0    4   0    1  244
