Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          135    8    3   0  0   1   0    6   0
1           10  226    0   0  0   1   0    4   6
2            0    0  293   0  0   0   0    0   0
3            0    1   13  10  0  19   0    2   1
4            0    0    1   0  0   1   0    0   1
5            6    1   20   0  0  43   0    3   1
6            0    2    0   0  0   0  35    0   2
7            6    3    2   1  0   2   0  102   5
8            0    4    5   0  0  21   1    2  67
