Predicted    0    1    2  3  4   5   6   7   8
Actual                                        
0          145    4    0  0  0   1   0   2   1
1            9  229    0  0  0   0   3   2   4
2            0    0  250  0  0  43   0   0   0
3            1    1    1  7  0  29   0   2   5
4            0    0    0  0  0   2   0   0   1
5            6    1    2  0  0  47   0   2  16
6            0    1    0  0  0   0  35   0   3
7            8    4    0  0  0   3   0  98   8
8            0    4    0  0  0  16   3   0  77
