Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          136   12    0   0  0   1   1    3   0
1            8  233    0   0  0   0   0    1   5
2            0    0  250   0  0  43   0    0   0
3            1    1    0  26  0  15   0    1   2
4            0    0    0   0  0   2   0    1   0
5            6    1    1   3  0  35   0    2  26
6            0    3    0   0  0   0  34    1   1
7            7    4    0   1  0   2   0  101   6
8            0    6    0   2  0  17   0    5  70
