Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          142    8    0   0  0   1   0   2   0
1            7  234    0   0  0   1   0   2   3
2            0    0  250   0  0  43   0   0   0
3            0    1    3  28  0  12   0   0   2
4            0    0    0   0  0   2   0   0   1
5            6    1    2   3  0  57   0   2   3
6            0    3    0   0  0   1  34   1   0
7            8    5    0   1  0   5   0  97   5
8            1    6    0   1  0  21   0   2  69
