Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          336   16    0    0  0    5   0   28    1
1            3  605    0    0  1    2   2    3    4
2            0    0  722    1  0   11   0    1    1
3            0    2    2  104  0   11   0    0    0
4            0    0    0    1  1    6   0    0    3
5            0    4    8    9  0  155   0    5    7
6            0    5    0    0  0    0  92    1    2
7            8    5    0    2  0    5   0  285    2
8            2    5    0    1  0    3   0    2  241
