Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          369    6    1   0  0    2   0    5    3
1           16  593    1   0  0    2   3    3    2
2            0    0  732   2  0    2   0    0    0
3            0    2   24  79  0   11   1    0    2
4            0    0    1   1  2    6   0    0    1
5            4    3   42   3  0  129   0    2    5
6            1    2    0   0  0    3  93    0    1
7           15    8    4   1  0    5   0  271    3
8            1    5    2   1  0   29   1    1  214
