Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          362   11    1   1  0    3   0    2    6
1           28  578    0   0  0    0   2    5    7
2            0    0  721   1  0   13   0    0    1
3            1    1   19  58  0   29   0    1   10
4            0    0    0   0  0    8   0    0    3
5           14    1   19   3  0  121   0    6   24
6            2    5    0   0  0    0  87    0    6
7           25   10    1   0  0   12   0  249   10
8            2   14    1   2  0   35   1    0  199
