Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          363    3    1   0  0    3   3    6    7
1           16  591    2   1  0    4   1    1    4
2            0    0  733   1  0    2   0    0    0
3            0    1   35  66  0   13   0    1    3
4            0    0    0   1  0    7   0    1    2
5           13    1   45   4  0  123   0    1    1
6            0    8    0   0  0    4  88    0    0
7           22    9    1   5  0   12   0  245   13
8            1   20    6  18  0   40   2    5  162
