Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          148    2    0   0  0   1   0   1   1
1            8  233    2   0  0   1   0   1   2
2            0    0  292   0  0   1   0   0   0
3            0    1   11  27  0   5   0   1   1
4            0    0    1   0  0   1   0   0   1
5            6    1   18   2  0  45   0   2   0
6            0    3    0   0  0   0  34   1   1
7            8    4    2   4  0   1   0  98   4
8            0    6    1   1  0  28   1   6  57
