Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          361    7    1   1  0    3   0    5    8
1           26  582    0   0  0    1   0    1   10
2            0    0  731   0  0    5   0    0    0
3            1    1   26  54  0   27   0    1    9
4            0    0    0   0  0    8   0    2    1
5           13    1   46   6  0  109   0    2   11
6            2    5    0   0  0    0  87    2    4
7           24    9    2   7  0    6   0  249   10
8            1   14    2   3  0   44   2    4  184
