Predicted    0    1    2  3  4   5  6    7    8
Actual                                         
0          362    5    1  0  0   1  0    4   13
1           18  590    4  0  0   0  0    1    7
2            0    0  736  0  0   0  0    0    0
3            0    1   78  1  0  25  0    0   14
4            0    0    1  0  0   6  0    2    2
5           14    1   71  0  0  44  0    0   58
6            7    5    0  0  0   2  0   16   70
7           31    7    4  1  0   1  0  234   29
8            2   15   14  1  0  36  1   18  167
