Predicted   0   1    2   3  4   5   6   7   8
Actual                                       
0          54   3    0   0  0   1   0   0   0
1           4  87    0   0  0   0   0   1   1
2           0   0  110   0  0   0   0   0   0
3           0   1    2  12  0   2   0   1   0
4           0   0    0   0  0   0   0   0   1
5           1   0    5   0  0  22   0   0   0
6           0   0    0   0  0   0  15   0   0
7           1   2    0   0  0   1   0  40   2
8           0   1    0   0  0   2   0   0  35
