Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          367    3    0    1  0    2   1    9    3
1            8  602    0    0  0    2   1    4    3
2            0    0  731    1  0    1   1    0    2
3            0    1   10  104  0    3   0    0    1
4            0    0    1    1  2    5   0    0    2
5            2    2   24    6  0  145   0    2    7
6            1    1    0    0  0    0  94    1    3
7            9    7    4    1  0    2   0  278    6
8            2    4    0    1  0    2   0    1  244
