Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          369    2    1   0  0    4   1    8    1
1           18  587    2   1  0    4   1    4    3
2            0    0  731   1  0    3   0    1    0
3            0    2   19  93  0    4   0    0    1
4            0    0    1   0  2    4   0    0    4
5            4    1   38   4  0  137   0    2    2
6            0    0    0   0  0    0  96    3    1
7           13    4    3   1  0    4   0  281    1
8            4    3    3   1  0    6   0    1  236
