Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          369    1    1   0  0    1   0   12    2
1           14  591    1   0  0    1   5    4    4
2            0    0  732   2  0    1   0    0    1
3            0    1   24  90  0    2   1    1    0
4            0    0    1   1  3    5   0    0    1
5            4    1   48   6  0  123   0    5    1
6            0    1    0   1  0    0  94    4    0
7            9    5    3   1  0    2   0  284    3
8            2    5    3   2  0   19   2    3  218
