Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          366    2    0   0  0    4   0   10    4
1           10  591    0   1  0    7   1    5    5
2            0    0  732   0  0    3   0    1    0
3            0    1   20  88  0    8   1    0    1
4            0    0    1   0  2    5   0    0    3
5            3    2   20   3  0  155   0    3    2
6            0    1    0   0  0    1  93    4    1
7           10    5    3   1  0    7   0  278    3
8            1    5    1   1  0    8   2    0  236
