Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          148    1    1   0  0   1   0   2   0
1            5  236    1   1  0   2   0   0   2
2            0    0  292   1  0   0   0   0   0
3            0    1    8  33  0   2   0   1   1
4            0    0    0   1  0   1   0   0   1
5            6    2   19   3  0  34   0   0  10
6            0    2    0   0  0   0  35   0   2
7            7    7    2   2  0   3   0  98   2
8            0    6    0  16  0   4   1   3  70
