Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          145    5    1   0  0   1   1    0   0
1            7  230    1   1  0   2   1    1   4
2            0    0  291   0  0   2   0    0   0
3            0    0    8  29  0   6   0    0   3
4            0    0    0   0  0   2   0    0   1
5            6    1   10   2  0  53   0    1   1
6            0    2    0   0  0   0  35    0   2
7            8    2    0   1  0   3   0  101   6
8            0    7    0   1  0  23   0    2  67
