Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          371    3    1    0  0    3   0    7    1
1           13  593    1    0  0    2   1    3    7
2            1    0  729    2  0    3   0    1    0
3            0    2    7  107  0    2   0    0    1
4            0    0    1    0  2    4   0    0    4
5            3    1   35    6  0  139   0    2    2
6            1    3    0    0  0    1  93    0    2
7           11    4    3    1  0    6   0  279    3
8            0    7    1    2  0    5   3    1  235
