Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          366    7    0   0  0    5   0    6    2
1            9  593    0   0  0    4   3    6    5
2            0    0  732   1  0    2   0    0    1
3            0    1   25  86  0    5   1    1    0
4            0    0    3   0  2    1   0    0    5
5            2    3   44   2  0  125   0    4    8
6            0    1    0   1  0    0  94    3    1
7           12    7    4   0  0    3   0  277    4
8            2    4    3   1  0    2   0    1  241
