Predicted    0    1    2  3  4   5   6    7    8
Actual                                          
0          365    6    1  0  0   2   3    4    5
1           26  578    0  0  0   0   4    7    5
2            0    0  625  0  0   0   0  111    0
3            1    0    0  0  0   0   0  113    5
4            0    0    0  0  0   0   0    8    3
5           14    2    1  0  0  47   0  120    4
6            9    2    0  0  0   0  83    2    4
7           33   14    0  0  0   7   0  242   11
8            4   13    1  0  0   0   4   70  162
