Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    3    1   0  0   0   1   2   0
1            5  236    1   0  0   2   0   0   3
2            0    0  293   0  0   0   0   0   0
3            0    1   15  25  0   3   0   1   1
4            0    0    1   0  0   1   0   0   1
5            6    2   20   0  0  33   0   1  12
6            0    3    0   0  0   0  35   0   1
7            5    7    2   1  0   1   0  99   6
8            0    6    5   0  0  12   1   2  74
