Predicted    0    1    2  3  4   5   6    7   8
Actual                                         
0          145    4    1  0  0   0   0    2   1
1            8  230    0  0  0   0   1    2   6
2            0    0  250  0  0   0   0    0  43
3            1    2    1  6  0   0   0    0  36
4            0    0    0  0  0   0   0    0   3
5            6    1    0  0  0  17   0    3  47
6            0    4    0  0  0   0  34    0   1
7            8    4    0  0  0   1   0  101   7
8            0    4    0  0  0   1   2    1  92
