Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          360   16    0    0  0    1   1    8    0
1            3  608    0    0  0    0   3    3    3
2            0    0  692    1  0   41   0    1    1
3            0    3    0  101  0   11   0    4    0
4            0    0    0    0  1    5   0    2    3
5            2    3    6    4  0  114   0   58    1
6            0    5    0    5  0    0  90    0    0
7            8   10    0    1  0    4   0  283    1
8            2    6    0    1  0    4   0    8  233
