Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          139    6    1   0  0   1   1    5   0
1            5  234    1   0  0   3   1    1   2
2            0    0  293   0  0   0   0    0   0
3            0    1   14  26  0   3   0    1   1
4            0    0    2   0  0   0   0    1   0
5            6    2   26   1  0  38   0    1   0
6            0    2    0   0  0   0  36    0   1
7            5    7    2   3  0   2   0  101   1
8            0    4    7   0  0  19   1    3  66
