Predicted    0    1    2  3  4   5   6   7   8
Actual                                        
0          143    5    0  0  0   1   2   1   1
1            5  236    1  0  0   1   0   1   3
2            0    0  281  0  0  12   0   0   0
3            0    2    3  0  0  29   0   1  11
4            0    0    0  0  0   2   0   1   0
5            7    1    8  0  0  49   0   0   9
6            0    4    0  0  0   0  34   0   1
7           11    4    0  0  0   2   0  96   8
8            0    7    1  0  0  14   0   6  72
