Predicted    0    1    2   3  4  5   6   7   8
Actual                                        
0          137    5    1   0  0  0   1   7   2
1            4  229    1   0  0  1   8   1   3
2            0    0  293   0  0  0   0   0   0
3            1    0   17  23  0  3   1   0   1
4            0    0    2   0  0  0   0   1   0
5            2    1   39   1  0  9   0   5  17
6            0    1    0   0  0  0  35   1   2
7            6    4    2   6  0  0   0  99   4
8            0    6   24   5  0  5   1   4  55
