Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          369    2    1   1  0    2   1   10    0
1           14  592    0   1  3    3   0    4    3
2            0    0  732   0  0    4   0    0    0
3            0    1   25  89  0    1   1    1    1
4            0    0    3   1  3    3   0    0    1
5            3    1   42  10  0  129   0    3    0
6            0    0    0   2  0    0  94    3    1
7           10    4    5   1  0    5   1  281    0
8            2    5    5   0  1   45   5    1  190
