Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          144    2    1   0  0   2   1    3   0
1            5  234    1   0  0   5   0    0   2
2            0    0  292   0  0   1   0    0   0
3            0    1   12  12  0  19   0    1   1
4            0    0    0   0  0   2   0    0   1
5            6    2   21   0  0  45   0    0   0
6            0    2    0   0  0   0  36    0   1
7            6    6    2   0  0   5   0  100   2
8            0    4    1   0  0  24   2    1  68
