Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          142    6    1   0  0   0   0    4   0
1            6  230    0   2  0   0   2    5   2
2            0    0  292   0  0   1   0    0   0
3            0    1    3  34  0   4   1    2   1
4            0    0    1   1  0   0   0    1   0
5            6    1   11  12  0  34   0    7   3
6            0    4    0   0  0   0  34    0   1
7            5    5    1   4  0   2   0  103   1
8            0    6    0   7  0  18   0    2  67
