Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    5    0   0  0    5   2    4    3
1           26  578    0   0  0    1   1    6    8
2            0    0  725   0  0   11   0    0    0
3            0    1   11  58  0   37   0    2   10
4            0    0    0   0  0    8   0    2    1
5           13    1   26   3  0  114   0    3   28
6            3    7    0   0  0    0  83    0    7
7           20   10    2   0  0   13   0  253    9
8            4   12    1   0  0   49   6    5  177
