Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          145    2    0   0  0   3   0    3   0
1            5  235    1   0  0   2   0    1   3
2            0    0  290   0  0   3   0    0   0
3            0    1    2  26  0  15   0    1   1
4            0    0    0   0  0   2   0    0   1
5            6    1   13   1  0  43   0    1   9
6            0    1    0   1  0   0  36    0   1
7            6    4    1   2  0   2   0  102   4
8            0    5    0   0  0  19   2    2  72
