Predicted    0    1    2  3  4  5   6   7   8
Actual                                       
0          144    3    2  0  0  0   0   4   0
1            5  235    2  0  0  0   0   5   0
2            0    0  250  0  0  0   0  43   0
3            0    2    0  0  0  0   0  44   0
4            0    0    0  0  0  0   0   3   0
5            6    5    0  0  0  0   0  63   0
6            6    1    1  0  0  0  30   1   0
7            6   95    0  0  0  0   0  20   0
8            1    8    1  0  0  0   0  74  16
