Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          147    1    1   0  0   3   1   0   0
1            8  228    0   0  0   1   0   1   9
2            0    0  279   0  0  13   0   0   1
3            0    0    1  26  0  13   0   0   6
4            0    0    0   0  0   2   0   0   1
5            6    1    9   1  0  30   0   1  26
6            0    2    2   0  0   0  31   0   4
7           10    4    1   1  0   3   0  97   5
8            0    4    0   0  0   9   0   0  87
