Predicted    0    1    2  3  4    5   6    7    8
Actual                                           
0          357    9    3  0  0    7   0    9    1
1           20  584    0  0  0    7   1    4    4
2            0    0  727  0  0    9   0    0    0
3            0    2   12  0  0   94   0    5    6
4            0    0    2  0  0    6   0    3    0
5           12    7   18  0  0  144   0    3    4
6            1    3    0  0  0    2  87    3    4
7           21   15    2  0  0   12   0  256    1
8            2   13    1  0  0   61   4    9  164
