Predicted    0    1    2  3  4  5   6    7   8
Actual                                        
0          362    5    2  0  0  0   0   12   5
1           22  586    2  0  0  0   1    9   0
2            0    0  625  0  0  0   0  111   0
3            0    2    0  0  0  0   0  117   0
4            0    0    0  0  0  0   0   10   1
5           14    4    0  0  0  0   0  170   0
6            7    2    1  0  0  0  84    3   3
7           16  218    1  0  0  0   0   69   3
8            6   18    2  0  0  0   3  161  64
