Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          130    5    1   0  0   5   0   12   0
1            3  234    1   0  0   3   0    1   5
2            0    0  292   0  0   1   0    0   0
3            0    1   13  22  0   8   0    1   1
4            0    0    2   0  0   0   0    0   1
5            6    3   25   0  0  39   0    0   1
6            0    2    0   0  0   0  35    0   2
7            5    4    2   1  0   4   0  103   2
8            0    2    7   0  0  20   1    1  69
