Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          144    2    0   0  0   3   0    4   0
1            8  231    0   0  0   2   0    4   2
2            0    0  292   0  0   1   0    0   0
3            0    1   10  26  0   7   0    1   1
4            0    0    1   0  0   1   0    1   0
5            6    1   15   0  0  50   0    2   0
6            0    3    0   0  0   0  34    0   2
7            7    4    2   3  0   3   0  101   1
8            0    5    0   0  0  30   0    1  64
