Predicted    0    1    2  3  4  5   6    7   8
Actual                                        
0          145    3    1  0  0  0   1    3   0
1            6  232    0  0  0  0   0    6   3
2            0    0  250  0  0  0   0   43   0
3            1    1    0  0  0  0   0   44   0
4            0    0    0  0  0  0   0    3   0
5            7    1    0  0  0  0   0   66   0
6            2    1    0  0  0  1  32    0   3
7            8    4    0  0  0  0   0  107   2
8            0    8    0  0  0  0   1   67  24
