Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          368    6    1   0  0    2   2    6    1
1            7  598    1   2  0    1   6    2    3
2            0    0  733   1  0    2   0    0    0
3            0    2   19  87  0   10   1    0    0
4            0    0    4   1  3    2   0    0    1
5            2    0   42   3  0  137   1    2    1
6            0    1    0   0  0    0  97    2    0
7           11    7    3   0  0    7   0  275    4
8            1    4    2   1  0    5   2    2  237
