Predicted    0    1    2  3  4   5   6    7   8
Actual                                         
0          368    3    0  0  0   1   3    7   4
1           10  594    1  0  0   2   1    6   6
2            0    0  662  0  0  74   0    0   0
3            0    1  100  0  0  14   0    3   1
4            0    0    4  0  0   4   0    3   0
5            5    0   18  0  0  72   0   89   4
6            2    0    0  0  0   0  89    9   0
7           15    3    2  0  0   5   1  276   5
8            3   13    3  0  0  29   0  191  15
