Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          365    2    0    0  0    3   0   12    4
1            5  600    1    1  0    2   0    6    5
2            0    0  725    2  0    9   0    0    0
3            0    1    6  103  0    7   0    1    1
4            0    0    1    0  2    4   0    0    4
5            0    2    9    4  0  166   0    3    4
6            1    0    0    0  0    0  94    0    5
7            7    2    4    0  0    5   0  284    5
8            0    2    0    1  0    7   0    3  241
