Predicted    0    1    2  3  4   5   6    7   8
Actual                                         
0          137    8    1  0  0   0   0    7   0
1            6  233    1  1  0   0   0    3   3
2            0    0  293  0  0   0   0    0   0
3            1    1   28  4  0   9   0    1   2
4            0    0    2  0  0   0   0    0   1
5            9    1   28  4  0  14   0   17   1
6            0    0    1  0  0   1  33    3   1
7            7    4    3  0  0   1   0  102   4
8            2    3    7  2  0  11   0    4  71
