Predicted    0    1    2  3  4  5   6    7   8
Actual                                        
0          141    1    0  0  0  3   1    6   1
1           10  222    1  0  0  0   1    7   6
2            0    0  250  0  0  0   0    0  43
3            0    1    0  0  0  1   0    0  44
4            0    0    0  0  0  0   0    0   3
5            1    1    0  0  0  0   0    3  69
6            2    0    0  0  0  0  34    1   2
7            7    3    0  0  0  1   0  100  10
8            1    3    0  0  0  1   0    2  93
