Predicted    0    1  2   3  4   5   6   7   8
Actual                                       
0            3  143  0   0  0   1   2   0   4
1            0  225  0   0  0   1  11   2   8
2          240   10  0   6  0  37   0   0   0
3            0    0  0  25  0  17   1   2   1
4            0    0  0   0  0   2   0   0   1
5            0    8  0   4  0  57   0   1   4
6            0    4  0   0  0   0  31   0   4
7            0    7  0   1  0   4   3  96  10
8            0    5  0   0  0  20   4  17  54
