Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          145    3    1   0  0   0   0    4   0
1           10  229    1   0  0   1   1    2   3
2            0    0  292   0  0   1   0    0   0
3            1    1   21  15  0   5   0    1   2
4            0    0    2   0  0   0   0    0   1
5            7    2   24   0  0  27   0    1  13
6            1    1    0   0  0   0  35    1   1
7            7    4    3   0  0   1   0  102   4
8            1    4    2   0  0  18   0    1  74
