Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          306    5    3    0  0   15   8   46    3
1            4  587    0    1  0    6   2   13    7
2            0    0  732    1  0    3   0    0    0
3            0    0    7  103  0    6   1    1    1
4            0    0    3    3  3    2   0    0    0
5            0    0   45    6  0  134   1    1    1
6            0    2    0    0  0    2  94    1    1
7            4    3    4    2  0   13   1  279    1
8            0    6    2    1  0   12   2    2  229
