Predicted    0    1    2  3  4  5  6    7   8
Actual                                       
0          143    8    0  0  0  0  0    2   0
1           12  223    0  0  0  0  0   12   0
2            0    0  250  0  0  0  0   43   0
3            0    1    0  0  0  0  0   45   0
4            0    0    0  0  0  0  0    3   0
5            6    1    0  0  0  0  0   67   0
6           36    2    0  0  0  0  0    1   0
7            6    4    0  1  0  0  0  107   3
8            1    7    0  0  0  0  0   77  15
