Predicted    0    1    2  3  4    5   6    7    8
Actual                                           
0          358    3    5  0  0    4   0   11    5
1           24  576    0  0  0    3   0   10    7
2            0    0  731  0  0    4   0    0    1
3            1    1   43  0  0   64   0    1    9
4            0    0    6  0  0    2   0    0    3
5           10    2   59  0  0  108   0    1    8
6            1    1    0  0  0    3  87    4    4
7           19    9    8  0  0    6   0  250   15
8            5    7    3  0  0   49   2    9  179
