Predicted    0    1    2  3  4    5   6    7    8
Actual                                           
0          357    5    1  0  0    3   2   15    3
1           20  580    0  1  0    4   0   10    5
2            0    0  733  1  0    2   0    0    0
3            0    1   97  9  0    6   0    1    5
4            0    0    2  2  0    4   0    0    3
5           13    2   41  8  0  100   1    1   22
6            1    3    1  1  0    1  88    1    4
7           15    8    5  5  0    3   0  257   14
8            4   11    6  6  0   40   1   12  174
