Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          361    5    1    0  0    2   0   14    3
1            3  602    2    0  0    0   2    6    5
2            0    0  731    1  0    4   0    0    0
3            1    0    8  105  1    2   0    0    2
4            0    0    2    1  3    2   0    0    3
5            1    1   31    4  0  144   0    3    4
6            1    1    0    1  1    0  90    1    5
7            5    5    4    2  0    2   0  288    1
8            1    7    0    2  0    2   4    1  237
